officer_id,target
17BR0006,malfeasance
17BR0009,malfeasance
17BR00012,malfeasance
17BR00022,malfeasance
17BR00026,lack of service
17BR00028,malfeasance
17BR00031,lack of service
17BR00032,lack of service
17BR00038,lack of service
17BR00045,malfeasance
17BR00049,malfeasance
17BR00055,lack of service
17BR00062,departmental violations
17BR00075,lack of service
17BR00079,malfeasance
17BR00084,lack of service
17BR00088,malfeasance
17BR00094,malfeasance
17BR000102,lack of service
17BR000104,malfeasance
17BR000105,lack of service
17BR000111,malfeasance
17BR000116,malfeasance
17BR000124,malfeasance
17BR000125,departmental violations
17BR000126,malfeasance
17BR000127,malfeasance
17BR000128,malfeasance
17BR000129,malfeasance
17BR000133,malfeasance
17BR000138,lack of service
17BR000139,lack of service
17BR000140,malfeasance
17BR000142,departmental violations
17BR000143,malfeasance
17BR000144,lack of service
17BR000148,malfeasance
17BR000149,malfeasance
17BR000151,lack of service
17BR000157,malfeasance
17BR000158,departmental violations
17BR000160,malfeasance
17BR000161,malfeasance
17BR000162,lack of service
17BR000168,departmental violations
17BR000169,departmental violations
17BR000172,lack of service
17BR000175,departmental violations
17BR000177,departmental violations
17BR000178,malfeasance
17BR000180,lack of service
17BR000181,malfeasance
17BR000182,malfeasance
17BR000184,departmental violations
17BR000185,malfeasance
17BR000192,malfeasance
17BR000195,malfeasance
17BR000197,malfeasance
17BR000202,lack of service
17BR000206,departmental violations
17BR000209,malfeasance
17BR000224,lack of service
17BR000228,malfeasance
17BR000229,lack of service
17BR000234,lack of service
17BR000235,malfeasance
17BR000236,malfeasance
17BR000238,departmental violations
17BR000239,malfeasance
17BR000240,departmental violations
17BR000242,malfeasance
17BR000245,lack of service
17BR000246,lack of service
17BR000252,malfeasance
17BR000263,malfeasance
17BR000265,malfeasance
17BR000266,malfeasance
17BR000270,lack of service
17BR000273,malfeasance
17BR000276,lack of service
17BR000278,departmental violations
17BR000281,lack of service
17BR000283,lack of service
17BR000288,malfeasance
17BR000292,malfeasance
17BR000304,lack of service
17BR000305,malfeasance
17BR000309,lack of service
17BR000310,malfeasance
17BR000313,malfeasance
17BR000319,malfeasance
17BR000323,departmental violations
17BR000326,lack of service
17BR000327,malfeasance
17BR000330,malfeasance
17BR000336,lack of service
17BR000340,malfeasance
17BR000341,malfeasance
17BR000343,malfeasance
17BR000347,malfeasance
17BR000348,lack of service
17BR000354,lack of service
17BR000356,departmental violations
17BR000360,lack of service
17BR000362,malfeasance
17BR000369,malfeasance
17BR000373,allegation
17BR000379,departmental violations
17BR000380,malfeasance
17BR000386,malfeasance
17BR000393,malfeasance
17BR000394,departmental violations
17BR000404,malfeasance
17BR000405,lack of service
17BR000407,lack of service
17BR000408,malfeasance
17BR000415,departmental violations
17BR000419,lack of service
17BR000422,malfeasance
17BR000423,malfeasance
17BR000424,malfeasance
17BR000425,departmental violations
17BR000431,lack of service
17BR000432,lack of service
17BR000433,departmental violations
17BR000437,departmental violations
17BR000438,malfeasance
17BR000441,departmental violations
17BR000444,lack of service
17BR000447,malfeasance
17BR000448,allegation
17BR000450,departmental violations
17BR000451,malfeasance
17BR000456,malfeasance
17BR000457,departmental violations
17BR000460,departmental violations
17BR000463,departmental violations
17BR000465,lack of service
17BR000466,departmental violations
17BR000472,lack of service
17BR000476,malfeasance
17BR000478,malfeasance
